Country,Currency,PC Game Pass Current,PC Game Pass New,source_vintage_date
Albania,USD,5.99,7.99,2024-09-10
Algeria,DZD,900,1080,2024-09-10
Argentina,ARS,5399,6999,2024-09-10
Australia,AUD,10.95,13.95,2024-09-10
Austria,EUR,9.99,11.99,2024-09-10
Bahrain,BHD,2.99,3.5,2024-09-10
Belgium,EUR,9.99,11.99,2024-09-10
Bolivia,USD,6.99,7.99,2024-09-10
Bosnia and Herzegovina,USD,6.99,8.99,2024-09-10
Brazil,BRL,29.99,35.99,2024-09-10
Bulgaria,BGN,15,18,2024-09-10
Canada,CAD,11.99,14.99,2024-09-10
Chile,CLP,5990,7190,2024-09-10
Colombia,COP,19900,26900,2024-09-10
Costa Rica,CRC,4.099,4.599,2024-09-10
Croatia,EUR,9.99,11.99,2024-09-10
Cyprus,EUR,9.99,11.99,2024-09-10
Czech Republic,CZK,259,299,2024-09-10
Denmark,DKK,79,89,2024-09-10
Ecuador,USD,6.99,7.99,2024-09-10
Egypt,EGP,90.00,190,2024-09-10
El Salvador,USD,6.99,7.99,2024-09-10
Estonia,EUR,9.99,11.99,2024-09-10
Finland,EUR,9.99,11.99,2024-09-10
France,EUR,9.99,11.99,2024-09-10
Georgia,USD,6.99,8.99,2024-09-10
Germany,EUR,9.99,11.99,2024-09-10
Greece,EUR,9.99,11.99,2024-09-10
Guatemala,GTQ,55.29,65.99,2024-09-10
Honduras,USD,6.99,7.99,2024-09-10
Hong Kong SAR,HKD,29,49,2024-09-10
Hungary,HUF,3000,3600,2024-09-10
Iceland,ISK,1350,1620,2024-09-10
India,INR,349,449,2024-09-10
Indonesia,IDR,49.999,64.999,2024-09-10
Ireland,EUR,9.99,11.99,2024-09-10
Israel,ILS,27.99,35.99,2024-09-10
Italy,EUR,9.99,11.99,2024-09-10
Japan,JPY,850,990,2024-09-10
Korea,KRW,7900,9500,2024-09-10
Kuwait,KWD,2.25,2.75,2024-09-10
Latvia,EUR,9.99,11.99,2024-09-10
Libya,USD,5.99,6.99,2024-09-10
Liechtenstein,Swiss Franc,12.50,14.5,2024-09-10
Lithuania,EUR,9.99,11.99,2024-09-10
Luxemburg,EUR,9.99,11.99,2024-09-10
Macedonia,USD,6.99,8.99,2024-09-10
Malaysia,MYR,15,20,2024-09-10
Malta,EUR,9.99,11.99,2024-09-10
Mexico,MXN,149,179,2024-09-10
Moldova,USD,6.99,8.99,2024-09-10
Montenegro,EUR,6.99,11.99,2024-09-10
Morocco,MAD,50,60,2024-09-10
Netherlands,EUR,9.99,11.99,2024-09-10
New Zealand,NZD,12.95,16.95,2024-09-10
Nicaragua,USD,6.99,7.99,2024-09-10
Norway,NOK,99,119,2024-09-10
Oman,OMR,2.99,3.5,2024-09-10
Panama,USD,6.99,7.99,2024-09-10
Paraguay,USD,6.99,7.99,2024-09-10
Peru,PEN,26.99,32.99,2024-09-10
Philippines,PHP,119,175,2024-09-10
Poland,PLN,39.99,47.99,2024-09-10
Portugal,EUR,9.99,11.99,2024-09-10
Qatar,QAR,25.00,30,2024-09-10
Romania,LEU,35,40,2024-09-10
Saudi Arabia,SAR,29.99,35.99,2024-09-10
Serbia,RSD,800,950,2024-09-10
Singapore,SGD,9.99,11.99,2024-09-10
Slovakia,EUR,9.99,11.99,2024-09-10
Slovenia,EUR,9.99,11.99,2024-09-10
South Africa,ZAR,79,119,2024-09-10
Spain,EUR,9.99,11.99,2024-09-10
Sweden,SEK,99,119,2024-09-10
Switzerland,CHF,11.99,12.99,2024-09-10
Taiwan,TWD,199,239.00,2024-09-10
Thailand,THB,99,129,2024-09-10
Tunisia,TND,19.99,23.99,2024-09-10
Turkey,TRY,159,209,2024-09-10
Ukraine,UAH,19000,23000,2024-09-10
United Arab Emirates,USD,6.99,8.99,2024-09-10
United Kingdom,GBP,7.99,9.99,2024-09-10
United States,USD,9.99,11.99,2024-09-10
Uruguay,USD,6.99,7.99,2024-09-10
Vietnam,VND,59000,79000,2024-09-10
