Country,Currency,Game Pass Ultimate Current,Game Pass Ultimate New,Game Pass Core 12 months Current,Game Pass Core 12 months New,source_vintage_date
Argentina,ARS,6999,10999,27999,44999,2024-07-10
Australia,AUD,18.95,22.95,79.95,89.95,2024-07-10
Austria,EUR,14.99,17.99,59.99,69.99,2024-07-10
Belgium,EUR,14.99,17.99,59.99,69.99,2024-07-10
Brazil,BRL,49.99,59.99,199.99,249.99,2024-07-10
Canada,CAD,18.99,22.99,69.99,87.99,2024-07-10
Chile,CLP,8990,10590,47990,50990,2024-07-10
Colombia,COP,33900,42990,150900,189900,2024-07-10
Czech Republic,CZK,389,439,1499,1599,2024-07-10
Denmark,DKK,109,129,499,499,2024-07-10
Finland,EUR,14.99,17.99,59.99,69.99,2024-07-10
France,EUR,14.99,17.99,59.99,69.99,2024-07-10
Germany,EUR,14.99,17.99,59.99,69.99,2024-07-10
Greece,EUR,14.99,17.99,59.99,69.99,2024-07-10
Hong Kong SAR,HKD,85,100,349,409,2024-07-10
Hungary,HUF,4790,5490,19850,24800,2024-07-10
India,INR,549,829,1999,3349,2024-07-10
Ireland,EUR,14.99,17.99,59.99,69.99,2024-07-10
Israel,ILS,44.99,53.99,175.99,229.99,2024-07-10
Italy,EUR,14.99,17.99,59.99,69.99,2024-07-10
Japan,JPY,1210,1450,5378,6500,2024-07-10
Mexico,MXN,249,299,1159,1159,2024-07-10
Netherlands,EUR,14.99,17.99,59.99,69.99,2024-07-10
New Zealand,NZD,21.95,28.95,89.95,109.95,2024-07-10
Norway,NOK,139,179,599,649,2024-07-10
Poland,PLN,62.99,73.99,249,249,2024-07-10
Portugal,EUR,14.99,17.99,59.99,69.99,2024-07-10
Saudi Arabia,SAR,44.99,52.99,179.99,229.99,2024-07-10
Singapore,SGD,15.90,18.90,59.99,64.99,2024-07-10
Slovakia,EUR,14.99,17.99,59.99,69.99,2024-07-10
South Africa,ZAR,129,199,479,799,2024-07-10
South Korea,KRW,13500,16000,46800,58500,2024-07-10
Spain,EUR,14.99,17.99,59.99,69.99,2024-07-10
Sweden,SEK,155,185,649,729,2024-07-10
Switzerland,CHF,16.99,19.99,79,79,2024-07-10
Taiwan,TWD,338,399,1199,1499,2024-07-10
Türkiye,TRY,209,309,959,1399,2024-07-10
United Arab Emirates,USD,11.99,13.99,39.99,59.99,2024-07-10
United Kingdom,GBP,12.99,14.99,49.99,55.99,2024-07-10
United States,USD,16.99,19.99,59.99,74.99,2024-07-10
